,mAP@5,mAP@10,mAP@15,views,037_scissors@5,037_scissors@10,037_scissors@15,018_plum@5,018_plum@10,018_plum@15,065-e_cups@5,065-e_cups@10,065-e_cups@15,017_orange@5,017_orange@10,017_orange@15,008_pudding_box@5,008_pudding_box@10,008_pudding_box@15,005_tomato_soup_can@5,005_tomato_soup_can@10,005_tomato_soup_can@15,010_potted_meat_can@5,010_potted_meat_can@10,010_potted_meat_can@15
GDN_pointnet2_20_view,0.861947205881816,0.963156843252599,0.9728586935982122,20,0.6808630952380952,0.8303471119929453,0.841872795414462,0.4405555555555556,0.6870834908037288,0.830188124632569,0.9237480666134766,0.9683690966098373,0.9737853783488704,0.7882158549882278,0.9969728759958645,0.9981648725901601,0.9522029714663643,0.9994444444444444,1.0,0.9211767545460074,0.9721579851608587,0.9773087331995378,0.8818795340613895,0.9664343163830026,0.9837357244941399
GDN_edgeconv_20_view,0.8200443108000043,0.9560816185035473,0.9690283574514077,20,0.6412301587301588,0.7236203703703703,0.7753297430083144,0.22936507936507936,0.608994708994709,0.8061460695389266,0.8835820053329974,0.9700304967666078,0.9700304967666078,0.6359007632427173,0.980282860270545,1.0,0.9566344246031745,0.9953020282186948,0.9953020282186948,0.9128299819289146,0.9912424740010948,0.9912424740010948,0.9005297195506555,0.9770776318190111,0.9807433254272335
GPD_20_view,0.6032408046417708,0.7303648486367171,0.7403049699482585,20,0.6693096497858402,0.681915233686067,0.7452883282942806,0.075,0.075,0.075,0.4028207671957672,0.8346864676940735,0.869501527462837,0.40465927750410513,0.4717349870982876,0.47047609273594493,0.8740343915343913,0.9790445877425042,0.9826314484126983,0.5988129447181172,0.6550948731983215,0.6550948731983215,0.7757578778637894,0.9125131949331454,0.9151375205254515
PointnetGPD_20_view,0.5106619929909698,0.6069529136131102,0.6267798855988986,20,0.862718537414966,0.9083666383219955,0.9339432949105568,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.6254035616304136,0.8662870755298004,0.8934664658044288,0.1731789363254881,0.19601464148877942,0.2001642036124795,0.7395694365709246,0.9213997149785842,0.9332890447845804,0.5005164594573461,0.5469710297912268,0.5751319493314567,0.5571844944874501,0.6520030885917584,0.6801526051033439
GDN_edgeconv_asymmetric_roll_20_view,0.1908996626025611,0.30769484222835675,0.49488592981476004,20,0.0,0.12111111111111113,0.36396825396825394,0.6616666666666666,0.9822604350382128,1.0,0.09775132275132274,0.17105379188712522,0.3860578336272781,0.5577184820288269,0.946149007176306,1.0,0.2614682539682539,0.3056249999999999,0.5952568972033256,0.009195402298850575,0.01015325670498084,0.23330596606458678,0.032060755336617404,0.04757799671592775,0.24256978653530376
GDN_pointnet2_asymmetric_roll_20_view,0.17957059534763983,0.39110779624517544,0.5055072840327758,20,0.0,0.07027777777777779,0.1713888888888889,0.564373897707231,0.8880291005291004,0.9822604350382128,0.14651675485008817,0.2177248677248677,0.3786022402788276,0.5080843400578622,0.9662521665754427,0.9991911451681567,0.22823412698412698,0.7150285493827161,0.7824461844923154,0.005747126436781609,0.06839080459770114,0.11626984126984126,0.03394909688013136,0.08212917350848385,0.35473111658456485
GDN_pointnet2_regression_20_view,0.14587646652864042,0.3093631075618653,0.46366195008599254,20,0.0,0.0,0.13333333333333333,0.16666666666666666,0.6666666666666666,0.7944444444444444,0.020370370370370372,0.2686287477954144,0.489643959435626,0.005747126436781609,0.014367816091954021,0.3798850574712644,0.5798809523809524,0.8122840136054421,0.8498378921012849,0.0,0.09865900383141762,0.17183908045977012,0.2586206896551724,0.5632183908045978,0.6364942528735633
GDN_edgeconv_no_bin_20_view,0.09306418219461697,0.22100155279503103,0.32706090407177363,20,0.0,0.0,0.08115079365079365,0.0,0.861111111111111,1.0,0.0,0.0,0.25925925925925924,0.0,0.0,0.13054187192118227,0.20833333333333334,0.6266666666666667,0.6247261904761905,0.034482758620689655,0.034482758620689655,0.07758620689655173,0.264696223316913,0.4959154351395731,0.6250342090859332
GDN_edgeconv_regression_20_view,0.03341097308488613,0.090095180584311,0.190635975001917,20,0.0,0.0,0.0,0.0,0.27777777777777773,0.47222222222222215,0.0,0.0,0.027777777777777776,0.0,0.04597701149425287,0.2379310344827586,0.04464285714285714,0.14215277777777777,0.4006064814814814,0.0,0.0,0.034482758620689655,0.12820197044334974,0.2559797482211275,0.2923782156540777
GDN_pointnet2_no_bin_20_view,0.03170289855072464,0.15146940418679547,0.31404991948470207,20,0.0,0.05333333333333333,0.14694444444444446,0.041666666666666664,0.4916666666666667,0.686111111111111,0.16666666666666666,0.3645061728395061,0.4598765432098765,0.034482758620689655,0.23275862068965514,0.6850574712643677,0.0,0.11666666666666665,0.29583333333333334,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.0,0.10344827586206896,0.1896551724137931
